"DateTime","Counter-Strike: Global Offensive","Sid Meier's Civilization V","Grand Theft Auto V","Sid Meier's Civilization VI","The Elder Scrolls V: Skyrim Special Edition","Far Cry 5","PUBG: BATTLEGROUNDS","Monster Hunter: World","Assassin's Creed Odyssey","太吾绘卷 The Scroll Of Taiwu"
"2015-07-14 00:00:00",514071,39770,48823,,,,,,,
"2015-07-15 00:00:00",522264,37550,46580,,,,,,,
"2015-07-16 00:00:00",510847,37135,46278,,,,,,,
"2015-07-17 00:00:00",470311,38756,47349,,,,,,,
"2015-07-18 00:00:00",458623,45867,52215,,,,,,,
"2015-07-19 00:00:00",514116,50551,55406,,,,,,,
"2015-07-20 00:00:00",513838,45107,47034,,,,,,,
"2015-07-21 00:00:00",505546,38973,48513,,,,,,,
"2015-07-22 00:00:00",504003,38537,46614,,,,,,,
"2015-07-23 00:00:00",503109,38912,47205,,,,,,,
"2015-07-24 00:00:00",468739,39412,48951,,,,,,,
"2015-07-25 00:00:00",461601,47635,52851,,,,,,,
"2015-07-26 00:00:00",505594,51898,54398,,,,,,,
"2015-07-27 00:00:00",523216,46231,46503,,,,,,,
"2015-07-28 00:00:00",509832,41175,47005,,,,,,,
"2015-07-29 00:00:00",511832,39408,45765,,,,,,,
"2015-07-30 00:00:00",507985,38677,44935,,,,,,,
"2015-07-31 00:00:00",487753,41566,44957,,,,,,,
"2015-08-01 00:00:00",456126,50135,48734,,,,,,,
"2015-08-02 00:00:00",509694,56458,49397,,,,,,,
"2015-08-03 00:00:00",499671,50739,45984,,,,,,,
"2015-08-04 00:00:00",502762,45948,46548,,,,,,,
"2015-08-05 00:00:00",491415,42792,45459,,,,,,,
"2015-08-06 00:00:00",490349,41435,44818,,,,,,,
"2015-08-07 00:00:00",464880,42046,46350,,,,,,,
"2015-08-08 00:00:00",453921,49303,49473,,,,,,,
"2015-08-09 00:00:00",510793,54354,50764,,,,,,,
"2015-08-10 00:00:00",516646,48915,43900,,,,,,,
"2015-08-11 00:00:00",503556,43601,42419,,,,,,,
"2015-08-12 00:00:00",503351,40462,40028,,,,,,,
"2015-08-13 00:00:00",494573,39964,38663,,,,,,,
"2015-08-14 00:00:00",477429,42712,40025,,,,,,,
"2015-08-15 00:00:00",495073,53220,44024,,,,,,,
"2015-08-16 00:00:00",546564,60338,46615,,,,,,,
"2015-08-17 00:00:00",549505,53340,40787,,,,,,,
"2015-08-18 00:00:00",527833,47756,41691,,,,,,,
"2015-08-19 00:00:00",545605,45316,38794,,,,,,,
"2015-08-20 00:00:00",654789,42948,37246,,,,,,,
"2015-08-21 00:00:00",635559,44085,38780,,,,,,,
"2015-08-22 00:00:00",655378,52283,43422,,,,,,,
"2015-08-23 00:00:00",819902,55398,44562,,,,,,,
"2015-08-24 00:00:00",649101,49497,40538,,,,,,,
"2015-08-25 00:00:00",632719,41895,39620,,,,,,,
"2015-08-26 00:00:00",614513,39616,39117,,,,,,,
"2015-08-27 00:00:00",610491,39131,39407,,,,,,,
"2015-08-28 00:00:00",578810,40711,40154,,,,,,,
"2015-08-29 00:00:00",575579,49700,43727,,,,,,,
"2015-08-30 00:00:00",629806,52114,44628,,,,,,,
"2015-08-31 00:00:00",574905,46485,38285,,,,,,,
"2015-09-01 00:00:00",555128,37404,35527,,,,,,,
"2015-09-02 00:00:00",564619,36038,35363,,,,,,,
"2015-09-03 00:00:00",570566,35956,34769,,,,,,,
"2015-09-04 00:00:00",587280,39807,37315,,,,,,,
"2015-09-05 00:00:00",629407,50121,43633,,,,,,,
"2015-09-06 00:00:00",653346,52194,43444,,,,,,,
"2015-09-07 00:00:00",650458,50680,36483,,,,,,,
"2015-09-08 00:00:00",583000,44762,32505,,,,,,,
"2015-09-09 00:00:00",581834,35107,31655,,,,,,,
"2015-09-10 00:00:00",570207,34916,31434,,,,,,,
"2015-09-11 00:00:00",615578,38610,36167,,,,,,,
"2015-09-12 00:00:00",639815,49097,44045,,,,,,,
"2015-09-13 00:00:00",647434,49507,43809,,,,,,,
"2015-09-14 00:00:00",611175,42958,33481,,,,,,,
"2015-09-15 00:00:00",594710,35640,37485,,,,,,,
"2015-09-16 00:00:00",632987,34930,35471,,,,,,,
"2015-09-17 00:00:00",613077,35212,35636,,,,,,,
"2015-09-18 00:00:00",725939,38958,37585,,,,,,,
"2015-09-19 00:00:00",725872,49807,47429,,,,,,,
"2015-09-20 00:00:00",720141,50284,47250,,,,,,,
"2015-09-21 00:00:00",644615,42619,33992,,,,,,,
"2015-09-22 00:00:00",621099,36643,33917,,,,,,,
"2015-09-23 00:00:00",668621,36367,35007,,,,,,,
"2015-09-24 00:00:00",629762,35204,33717,,,,,,,
"2015-09-25 00:00:00",670245,39474,37946,,,,,,,
"2015-09-26 00:00:00",698254,48722,43939,,,,,,,
"2015-09-27 00:00:00",708298,50287,44416,,,,,,,
"2015-09-28 00:00:00",630309,42309,34489,,,,,,,
"2015-09-29 00:00:00",614948,35951,33651,,,,,,,
"2015-09-30 00:00:00",605557,34655,34819,,,,,,,
"2015-10-01 00:00:00",589989,34440,33519,,,,,,,
"2015-10-02 00:00:00",663702,40100,36374,,,,,,,
"2015-10-03 00:00:00",709984,51433,44447,,,,,,,
"2015-10-04 00:00:00",698465,51754,45682,,,,,,,
"2015-10-05 00:00:00",609039,43545,36681,,,,,,,
"2015-10-06 00:00:00",617252,36889,36247,,,,,,,
"2015-10-07 00:00:00",627301,36726,33832,,,,,,,
"2015-10-08 00:00:00",601490,35192,33147,,,,,,,
"2015-10-09 00:00:00",663583,40489,36541,,,,,,,
"2015-10-10 00:00:00",693601,50831,46092,,,,,,,
"2015-10-11 00:00:00",676761,50950,44942,,,,,,,
"2015-10-12 00:00:00",635027,43768,34944,,,,,,,
"2015-10-13 00:00:00",626353,37695,34406,,,,,,,
"2015-10-14 00:00:00",614333,36250,33440,,,,,,,
"2015-10-15 00:00:00",592895,31426,32900,,,,,,,
"2015-10-16 00:00:00",659430,41285,40056,,,,,,,
"2015-10-17 00:00:00",692862,51368,45837,,,,,,,
"2015-10-18 00:00:00",672513,52843,47322,,,,,,,
"2015-10-19 00:00:00",603815,44966,36140,,,,,,,
"2015-10-20 00:00:00",587495,36471,57907,,,,,,,
"2015-10-21 00:00:00",609933,35517,48554,,,,,,,
"2015-10-22 00:00:00",605688,36290,47887,,,,,,,
"2015-10-23 00:00:00",667325,41261,56985,,,,,,,
"2015-10-24 00:00:00",701645,52296,64203,,,,,,,
"2015-10-25 00:00:00",650136,53106,61503,,,,,,,
"2015-10-26 00:00:00",595490,44146,46747,,,,,,,
"2015-10-27 00:00:00",585391,38302,45112,,,,,,,
"2015-10-28 00:00:00",717511,38288,46030,,,,,,,
"2015-10-29 00:00:00",695740,36968,53637,,,,,,,
"2015-10-30 00:00:00",709147,40790,65434,,,,,,,
"2015-10-31 00:00:00",732093,50187,73795,,,,,,,
"2015-11-01 00:00:00",786707,52610,76970,,,,,,,
"2015-11-02 00:00:00",669533,43688,60977,,,,,,,
"2015-11-03 00:00:00",654961,36173,60737,,,,,,,
"2015-11-04 00:00:00",645986,35073,61763,,,,,,,
"2015-11-05 00:00:00",630788,35547,57192,,,,,,,
